title,author,rating,ratingnum,cuisine,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Peanut Butter Cup Cookies,Amy Golden,NA,NA,American,Prep Time 20 minutes mins,Cook Time 9 minutes mins,Total Time 29 minutes mins,36 cookies,6,11,1 3/4 cups all-purpose flour,1/4 teaspoon salt,1 teaspoon baking soda,36 miniature peanut butter cups unwrapped,1/2 cup butter softened,2/3 cup granulated sugar,1/3 cup packed brown sugar,1/2 cup peanut butter,1 egg beaten,1 1/4 teaspoons vanilla extract,1 tablespoon milk,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-cup-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Roll Cookies,Amy Golden,NA,NA,American,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Total Time 2 hours hrs 30 minutes mins,36 cookies,7,12,6 ounces unsalted butter softened,3/4 cup granulated sugar,1 large egg room temperature,1 3/4 teaspoons vanilla extract,2 1/4 cups all-purpose flour,3/4 teaspoon baking powder,1/2 teaspoon salt,2 tablespoons unsalted butter melted,3 1/2 tablespoons granulated sugar for cinnamon sugar,2 1/2 teaspoons ground cinnamon for cinnamon sugar,1 cup powdered sugar,2 1/2 to 3 tablespoons milk,NA,Baked Bree,https://bakedbree.com/cinnamon-roll-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 27 minutes mins,18 cookies,6,12,1 cup all-purpose flour,3/4 teaspoon baking soda,1/2 teaspoon salt,1 teaspoon ground cinnamon,1 teaspoon pumpkin pie spice,1 cup old-fashioned rolled oats,1/2 cup unsalted butter softened,1/2 cup brown sugar,1/4 cup granulated sugar,1 large egg,1 teaspoon vanilla extract,1/2 cup pumpkin purée,NA,Baked Bree,https://bakedbree.com/pumpkin-oatmeal-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 32 minutes mins,18 cookies,7,9,1 1/2 cups all-purpose flour,1 teaspoon baking powder,1/4 teaspoon kosher salt,1/2 cup unsalted butter softened,1 cup creamy peanut butter,2/3 cup packed brown sugar,1/3 cup granulated sugar,1 large egg at room temperature,1 1/2 teaspoons vanilla extract,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black and White Cookies,Amy Golden,NA,NA,American,Prep Time 30 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr,8 cookies,11,14,1 1/3 cups all-purpose flour,1/2 teaspoon baking powder,1/4 teaspoon baking soda,1/4 teaspoon salt,3 ounces unsalted butter softened,1/2 cup granulated sugar,1 large egg at room temperature,1 1/2 teaspoons vanilla extract,1/3 cup whole milk,2 1/2 cups powdered sugar,2 tablespoons light corn syrup,1/2 teaspoon vanilla extract,5 to 6 tablespoons water divided,Baked Bree,https://bakedbree.com/black-and-white-cookies,3 tablespoons unsweetened cocoa powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cider Donuts,Diane Goodman,NA,NA,American,Prep Time 30 minutes mins,Cook Time 10 minutes mins,Total Time 40 minutes mins,12 donuts,6,15,1 1/3 cups apple cider,2 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon baking soda,3/4 teaspoon ground cinnamon,1/2 teaspoon ground nutmeg,1/4 teaspoon kosher salt,3 tablespoons unsalted butter melted,2/3 cup light brown sugar packed,1/3 cup granulated sugar,1 large egg,1 teaspoon vanilla extract,1/2 cup buttermilk,Baked Bree,https://bakedbree.com/apple-cider-donuts,1 cup granulated sugar for coating,1 teaspoon ground cinnamon for coating,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peach Cobbler Recipe,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 45 minutes mins,Total Time 1 hour hr,8 servings,5,9,6 large peaches peeled and sliced,1/3 cup brown sugar,1 cup all-purpose flour,3/4 cup granulated sugar,1/4 teaspoon salt,1/2 cup unsalted butter melted,1 1/2 teaspoons vanilla extract,2 teaspoons baking powder,Ground cinnamon for sprinkling,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/peach-cobbler-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Lime Bars,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 25 minutes mins,Total Time 3 hours hrs 40 minutes mins,16 bars,7,7,1 1/2 cups graham cracker crumbs,1/3 cup granulated sugar,6 tablespoons unsalted butter melted,4 large egg yolks,14 ounces sweetened condensed milk,1/2 cup key lime juice,1 tablespoon lime zest,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/key-lime-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cannoli Recipe,Diane Goodman,NA,NA,Italian,Prep Time 45 minutes mins,Cook Time 10 minutes mins,Total Time 55 minutes mins,18 servings,13,14,2 cups all-purpose flour,2 tablespoons granulated sugar,1/4 teaspoon ground cinnamon,3 tablespoons unsalted butter chilled and cubed,1/3 cup Marsala wine,1 large egg,1 egg white for sealing dough,Vegetable oil for frying,15 ounces whole milk ricotta cheese drained,1/2 cup powdered sugar plus extra for dusting,1 teaspoon pure vanilla extract,1/3 cup mini chocolate chips,1 teaspoon orange zest optional,Baked Bree,https://bakedbree.com/cannoli,1 tablespoon chopped pistachio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mantecadas Recipe,Diane Goodman,NA,NA,Mexican,Prep Time 10 minutes mins,Cook Time 20 minutes mins,Total Time 30 minutes mins,12 servings,9,8,4 large eggs,1 cup granulated sugar,1 cup vegetable oil,3/4 cup whole milk,2 teaspoons vanilla extract,2 cups all-purpose flour,2 teaspoons baking powder,1/2 teaspoon salt,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/mantecadas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Lime Cookies,Amalena Caldwell,5, 1 ,American,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Total Time 20 minutes mins,24 cookies,9,10,3/4 cup unsalted butter softened,3/4 cup granulated sugar,1 large egg,1 tablespoon key lime zest,3 tablespoons key lime juice,1 3/4 cups all-purpose flour,1/2 teaspoon baking soda,1/2 teaspoon salt,1 cup powdered sugar (for glaze),1 tablespoon key lime juice (for glaze),NA,NA,NA,Baked Bree,https://bakedbree.com/key-lime-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricotta Cookies Recipe,Amalena Caldwell,NA,NA,italian-american,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 25 minutes mins,24 cookies,10,13,2 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon baking soda,1/4 teaspoon salt,1/2 cup unsalted butter softened,1 cup granulated sugar,1 large egg,1 cup ricotta cheese,1/2 teaspoon vanilla extract,1 1/2 cups powdered sugar,2 tablespoons milk,1/2 teaspoon almond extract,Sprinkles optional,Baked Bree,https://bakedbree.com/ricotta-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Cheesecake Bars,Bree Hester,NA,NA,baking,Prep Time 15 minutes mins,Cook Time 55 minutes mins,Total Time 6 hours hrs 10 minutes mins,12 bars,10,13,7 graham crackers,3 tablespoons brown sugar,6 tablespoons melted butter cooled,2 tablespoons flour,1/8 teaspoon salt,2 packages cream cheese (8 ounces each) room temperature,2/3 cups sugar,2 eggs,1/4 cup sour cream,1 teaspoon vanilla extract,12 whole Reese's Peanut Butter Cups divided,2 ounces semisweet chocolate melted,"Reese's Pieces optional, for garnish",Baked Bree,https://bakedbree.com/reeses-cheesecake-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baby Shower Cupcakes,Bree Hester,NA,NA,baking,Prep Time 30 minutes mins,Cook Time 30 minutes mins,Total Time 1 hour hr,24 cupcakes,11,17,3 cups cake flour not self-rising,1 1/2 cups flour,3/4 teaspoon baking soda,2 1/4 teaspoons baking powder,1 1/2 teaspoons kosher salt,1 cup plus 2 Tablespoons unsalted butter at room temperature,2 1/4 cups sugar,5 large whole eggs plus 3 egg yolks at room temperature,2 cups buttermilk at room temperature,2 teaspoons vanilla,2 sticks room temperature butter,6-7 cups confectioners sugar,6-8 Tablespoons heavy cream,Baked Bree,https://bakedbree.com/baby-shower-cupcakes,1 vanilla bean,1 teaspoon vanilla extract,1/2 teaspoon almond extract optional,food coloring optional,NA,NA,NA,NA,NA,NA,NA
Chocolate Snickerdoodles,Bree Hester,5, 3 ,"American, Holiday Baking",Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 1 hour hr 7 minutes mins,24 (2 to 3 dozen),12,11,2 1/4 cups flour,1/2 cup cocoa powder,1 teaspoon cream of tartar,1/2 teaspoon baking soda,1/4 teaspoon kosher salt,1/2 cup butter at room temperature,1 1/2 cups granulated sugar,2 eggs,1 teaspoon vanilla,3 tablespoons granulated sugar,1 tablespoon ground cinnamon,NA,NA,Baked Bree,https://bakedbree.com/chocolate-snickerdoodles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spooky Witch Finger Cookies (Halloween Cookies),Paola Westbeek,NA,NA,"American, Holiday Baking",Prep Time 15 minutes mins,Cook Time 20 minutes mins,Total Time 2 hours hrs 35 minutes mins,NA,9,9,1 cup butter softened,1/2 cup granulated sugar,1 large egg,2 teaspoons almond extract,1 cup powdered sugar,2 2/3 cups all-purpose flour,3/4 teaspoon salt,24 blanched almonds,1/2 cup strawberry jam,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/witch-finger-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perfect Chocolate Chip Cookies Recipe,Bree Hester,4.64, 11 ,American,Prep Time 20 minutes mins,Cook Time 16 minutes mins,Total Time 36 minutes mins,24 cookies,7,11,225 grams unsalted butter room temperature,220 grams light brown sugar,220 grams sugar,2 eggs,1 teaspoon vanilla,250 grams all-purpose flour,250 grams bread flour,1 teaspoon baking powder,1 teaspoon baking soda,1 teaspoon flaked sea salt,500 grams chocolate chopped,NA,NA,Baked Bree,https://bakedbree.com/perfect-chocolate-chip-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rocky Road Bars,Bree Hester,NA,NA,American,Prep Time 10 minutes mins,Cook Time 20 minutes mins,Total Time 1 hour hr 30 minutes mins,NA,8,5,8 graham crackers,1 1/2 cups raw almonds that have been toasted and coarsely chopped,1 cup marshmallow fluff,1 12-ounce bag semi sweet chips,1 14-ounce can sweetened condensed milk,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/rocky-road-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tie Dye Cookies,Bree Hester,4.67, 12 ,baking,Prep Time 20 minutes mins,Cook Time 8 minutes mins,Total Time 2 hours hrs 28 minutes mins,NA,4,2,1 kg sugar cookie dough,5 various food colors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/tie-dye-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Peanut Butter Candy-Pretzel Cowboy Cookies,Bree Hester,NA,NA,baking,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 52 minutes mins,36 cookies,10,15,1 cup unsalted butter at room temperature,1 cup light brown sugar packed,2 eggs,1 tablespoon vanilla,2 cups flour,1 1/2 cups old-fashioned rolled oats,1 teaspoon baking soda,1/2 teaspoon cinnamon,1/2 teaspoon salt,1 cup pretzels crushed,1 cup M&M's Peanut Butter candies,1/2 cup roasted peanuts roughly chopped,1/2 cup semisweet chocolate chips,Baked Bree,https://bakedbree.com/salted-peanut-butter-pretzel-cowboy-cookies,1/2 cup milk chocolate chunks,Flaked sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Macaroons,Bree Hester,NA,NA,"American, Bakery-style",Prep Time 15 minutes mins,Cook Time 25 minutes mins,Total Time 2 hours hrs 10 minutes mins,24 macaroons,6,7,1 can sweetened condensed milk (14 ounces),2 tablespoons sour cream,1 tablespoon heavy cream,1½ teaspoons vanilla extract,2 bags sweetened shredded coconut (14 ounces each),1½ cups milk chocolate chips,1½ cups dark chocolate chips,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-covered-macaroons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blueberry Cheesecake Bars,Bree Hester,5, 1 ,"American, Spring dessert",Prep Time 20 minutes mins,Cook Time 40 minutes mins,Total Time 3 hours hrs,NA,11,13,2 tablespoons sugar,2 teaspoons cornstarch,1 cup blueberries fresh or frozen,1/4 cup orange juice,2 cups flour,1/2 cup powdered sugar,1 cup butter,1 8-ounce cream cheese at room temperature,1/2 cup sugar,1 tablespoon flour,2 eggs,2 teaspoons orange zest,1 teaspoon vanilla,Baked Bree,https://bakedbree.com/blueberry-cheesecake-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Stacks,Bree Hester,NA,NA,American,Prep Time 30 minutes mins,Cook Time 30 minutes mins,Total Time 5 hours hrs,NA,7,11,Chocolate Shortbread Cookie adapted from Dorie,1 1/2 cups flour,1/2 cup unsweetened cocoa powder,2 sticks room temperature butter,2/3 powdered sugar,1 egg yolk,3/4 sea salt,1 teaspoon vanilla,peanut butter pie filling,caramel sauce,salted and roasted peanuts,NA,NA,Baked Bree,https://bakedbree.com/chocolate-peanut-butter-stacks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cream Pies,Bree Hester,5, 1 ,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 40 minutes mins,12 pies,7,13,1 stick butter room temperature,3/4 cup brown sugar,1 egg,1 teaspoon vanilla,1 1/4 cups flour,1 1/2 cups oats,1/2 teaspoon baking soda,1/2 teaspoon salt,1 /2 teaspoon cinnamon,1 stick butter room temperature,1 7- ounce container marshmallow creme,3 cups powdered sugar,1 teaspoon vanilla,Baked Bree,https://bakedbree.com/oatmeal-cream-pies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Lemon Bars Recipe,Bree Hester,4, 1 ,baking,Prep Time 20 minutes mins,Cook Time 55 minutes mins,Total Time 1 hour hr 35 minutes mins,18 bars,5,10,2 cups flour,1 cup confectioners’ sugar,Pinch of salt,2 sticks unsalted butter at room temperature,4 eggs,2 cups sugar,4 tablespoons lemon juice,4 tablespoons flour,1/2 teaspoon lemon extract,1 teaspoon baking powder,NA,NA,NA,Baked Bree,https://bakedbree.com/lemon-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toffee Blondies in a Jar,Bree Hester,NA,NA,"American, Holiday Baking",Prep Time 10 minutes mins,Cook Time 25 minutes mins,Total Time 35 minutes mins,12 bars,8,12,1 cup brown sugar,1/2 cup mini chocolate chips,1 cup flour,1 teaspoon baking powder,1/4 teaspoon salt,3/4 cup chopped pecans or walnuts,1/2 cup Heath Chips,1 quart size mason jar,the contents of the jar,1/4 cup melted butter,2 lightly beaten eggs,1 teaspoon vanilla,NA,Baked Bree,https://bakedbree.com/toffee-blondies-week-4-of-12-weeks-of-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maple Blondies,Bree Hester,5, 2 ,American,Prep Time 10 minutes mins,Cook Time 20 minutes mins,Total Time 30 minutes mins,NA,7,10,2 cups flour,1 teaspoon baking powder,3/4 teaspoon salt,1/4 teaspoon baking soda,10 tablespoons melted butter,1 cup brown sugar,1/2 cup pure maple syrup,2 eggs,1 teaspoon vanilla,1 cup pecan pieces,NA,NA,NA,Baked Bree,https://bakedbree.com/maple-blondies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Oatmeal Cookies,Bree Hester,4, 2 ,baking,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 25 minutes mins,18 pieces,7,12,1/2 cup peanut butter,1/2 cup butter room temperature,3/4 cup brown sugar,1 egg,1 tsp vanilla,2 ripe Dole bananas mashed,1/2 tsp baking soda,1/4 tsp salt,3/4 cup all purpose flour,3/4 cup whole wheat flour,1/4 cup toasted wheat germ,2 cup rolled oat,NA,Baked Bree,https://bakedbree.com/banana-oat-breakfast-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiced Chocolate Chip Cookie Bars,Bree Hester,NA,NA,"American, German",Prep Time 10 minutes mins,Cook Time 22 minutes mins,Total Time 32 minutes mins,NA,6,13,3 cups flour,3/4 teaspoon baking soda,3/4 teaspoon salt,1 1/2 teaspoons cinnamon,1/2 teaspoon ground ginger,1/2 teaspoon cardamom,1/2 teaspoon freshly grated nutmeg,1 cup butter room temperature,1 cup light brown sugar,3/4 cup sugar,2 eggs plus 1 yolk,2 teaspoons vanilla,1 cup chocolate chips or 250 g bar dark chocolate,Baked Bree,https://bakedbree.com/spiced-chocolate-chip-cookie-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Cinnamon Rugelach Recipe with Instructions,Bree Hester,NA,NA,baking,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 5 hours hrs 5 minutes mins,NA,16,13,1 cup butter room temperature,"1 brick of 8-ounces. cream cheese, room temperature",2 1/4 cups flour,1/4 teaspoon salt,1/4 cup powdered sugar,1 egg yolk,1 teaspoon vanilla,1/2 teaspoon almond extract,2 cups milk chocolate chips,3/4 teaspoon cinnamon divided,1 egg,2 tablespoons sanding sugar or regular sugar,1 teaspoon flaked sea salt,Baked Bree,https://bakedbree.com/chocolate-cinnamon-rugelach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Cookies,Bree Hester,NA,NA,American,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Total Time 20 minutes mins,2 dozen,6,11,1/2 cup sugar,1/2 cup brown sugar,1/2 cup room temperature butter,1/2 cup creamy peanut butter,1 teaspoon vanilla,1 egg,1 1/4 cups flour,1/4 cup cocoa,1 teaspoon baking soda,1/4 teaspoon salt,1 1/4 cups Reese’s Pieces,NA,NA,Baked Bree,https://bakedbree.com/reeses-pieces-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowman Sugar Cookies (Christmas Treat),Bree Hester,4.75, 12 ,baking,Prep Time 15 minutes mins,Cook Time 8 minutes mins,Total Time 2 hours hrs 23 minutes mins,6 dozen,6,8,2 cups softened unsalted butter,3 cups sugar,4 eggs,1 Tablespoon vanilla extract,1 tablespoon butter extract optional,7 cups flour,2 teaspoons baking powder,1 teaspoon salt,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Sugar Cookies,Bree Hester,4.50, 2 ,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr,16 cookies,6,8,1 roll refrigerated sugar cookie dough (16 1/2 ounces),4 ounces cream cheese room temperature,1/2 cup butter room temperature,2 cups powdered sugar,2 tablespoons heavy cream,1/2 teaspoon almond extract,Food coloring optional,Assorted sprinkles optional,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/frosted-sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Whoopie Pie,Bree Hester,5, 4 ,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 25 minutes mins,12 whoopie pies,12,17,1 – 12 ounce package mini chocolate chips,2 Tablespoons milk,3/4 cup butter room temperature,1/4 cup creamy peanut butter,1 1/2 cups sugar,1 teaspoon baking soda,1 teaspoon baking powder,2 eggs,1/2 cup milk,1 teaspoon vanilla,1/2 cup unsweetened cocoa powder,3 cups flour,1 cup room temperature butter,Baked Bree,https://bakedbree.com/chocolate-peanut-butter-whoopie-pie,1 cup creamy peanut butter,1 cup marshmallow creme,2 cups powdered sugar,2 Tablespoons milk,NA,NA,NA,NA,NA,NA,NA
Chewy Honey Gingersnap Cookies,Bree Hester,NA,NA,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 25 minutes mins,24 cookies,6,12,2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon salt,2 tablespoons crystallized ginger finely chopped,1 teaspoon ground ginger,1 teaspoon cinnamon,1/4 teaspoon ground cloves,1/2 cup unsalted butter room temperature,1/2 cup honey,1/2 cup plus 2 tablespoons Dixie Crystals Extra Fine Granulated Sugar,1 egg,1 teaspoon vanilla extract,NA,Baked Bree,https://bakedbree.com/chewy-honey-gingersnap-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Cinnamon-Nut Rugelach,Bree Hester,5, 2 ,"American, ashkenazi, eastern european, jewish",Prep Time 45 minutes mins,Cook Time 20 minutes mins,Total Time 3 hours hrs 30 minutes mins,24 servings,20,14,1 package cream cheese (8 ounces) at room temperature,2 sticks unsalted butter at room temperature,1/4 cup granulated sugar,1/4 teaspoon salt,1 teaspoon vanilla extract,2 cups all-purpose flour,9 tablespoons granulated sugar divided,1/4 cup brown sugar,1 1/2 teaspoons cinnamon divided,1 cup walnuts chopped,1/2 cup raspberry jam,1/2 cup apricot preserves,1 egg,Baked Bree,https://bakedbree.com/rugelach-cookies,Splash of milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Make Cinnamon Twists,Bree Hester,5, 1 ,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr,NA,7,14,1 cup milk,2 eggs,1/3 cup butter room temperature,1/2 cup sugar,1 teaspoon salt,4 cups flour,2 1/4 teaspoons yeast,1 cup brown sugar,2 1/2 Tablespoons cinnamon,1/3 cup butter room temperature,1 Tablespoon flour,1 cup powdered sugar,3 Tablespoons water,Baked Bree,https://bakedbree.com/bread-machine-cinnamon-twists,1 teaspoon vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heath Bar Cookies,Bree Hester,5, 2 ,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 55 minutes mins,36 cookies,8,11,1 bag mini Heath Bars (10.2 ounces) unwrapped,1 cup butter room temperature,1 cup sugar,1 cup brown sugar,2 eggs,2 teaspoons vanilla extract,3 cups flour,1 teaspoon baking soda,2 teaspoons hot water,1/2 teaspoon salt,1/2 teaspoon cream of tartar,NA,NA,Baked Bree,https://bakedbree.com/heath-bar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic Peanut Butter Blossom Cookies,Gavin Crisp,NA,NA,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,NA,8,9,1 1/2 cup Cake flour,1/2 cup Butter,1 cup Peanut butter,1/2 cup White sugar,1 tsp Vanilla essence,1 egg large,Pinch Salt,3/4 tsp baking powder,18 Kisses chocolates,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-blossom-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft and Chewy Chocolate Chip Cookies,Bree Hester,4.54, 15 ,baking,Prep Time 5 minutes mins,Cook Time 9 minutes mins,Total Time 14 minutes mins,24 cookies,6,9,1 cup melted butter cooled,3/4 cup sugar,3/4 cup brown sugar,2 eggs,1 teaspoon vanilla,3 cups flour more if needed,1 teaspoon baking soda,1 teaspoon salt,1 package chocolate chips,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-chip-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Nanaimo Bars,Bree Hester,5, 1 ,American,Prep Time 1 hour hr 40 minutes mins,Cook Time 20 minutes mins,Total Time 2 hours hrs,NA,10,13,1/2 cup butter,1/4 cup brown sugar,3 Tablespoons cocoa,1 egg,2 cups graham cracker crumbs,1 cup coconut,1/2 cup chopped walnuts,2 cups powdered sugar,1/4 cup room temperature butter,1/4 cup heavy cream,2 Tablespoons custard powder,3 ounces chocolate chips,1/4 butter,Baked Bree,https://bakedbree.com/nanaimo-bars-week-9-of-12-weeks-of-christmas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rice Krispies Treats With Vanilla Brown Butter,Bree Hester,4.54, 13 ,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr 25 minutes mins,18 servings,11,5,9 cups Rice Krispies cereal,1 cup butter,1/2 vanilla bean,2 bags marshmallows 10 ounces each,1/2 teaspoon kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/brown-butter-vanilla-bean-rice-krispie-treats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Butter Bars,Bree Hester,5, 1 ,American,Prep Time 15 minutes mins,Cook Time 40 minutes mins,Total Time 55 minutes mins,NA,9,9,1 box yellow cake mix,1/2 cup melted butter,3 eggs,1 13.5-ounce jar pumpkin butter (I used the William-Sonoma brand),2 Tablespoons milk,1 Tablespoon flour,1/4 cup sugar,1 teaspoon cinnamon,4 Tablespoons cold butter,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/pumpkin-butter-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Saucer Cookies,Bree Hester,NA,NA,American,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 2 hours hrs,20 cookies,14,10,4 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon kosher salt,1 1/2 cups unsalted butter at room temperature,1/2 cup vegetable oil,1 cup granulated sugar,1 cup powdered sugar,2 large eggs,4 teaspoons vanilla extract,"1/2 cup coarse sugar or colored sprinkles, optional, for rolling",NA,NA,NA,Baked Bree,https://bakedbree.com/sugar-saucers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Stacks,Bree Hester,5, 1 ,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 25 minutes mins,NA,6,8,3 Tablespoons sugar,1 teaspoon cinnamon,1 package 16 oz Pillsbury® Ready to Bake!™ refrigerated sugar cookies,1 cup heavy whipping cream,1/4 cup sugar,"1 8-ounce tub mascarpone, room temperature",1 teaspoon cinnamon,1 teaspoon vanilla,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/snickerdoodle-stacks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Icebox Cookies,Dori Rose,NA,NA,American,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Total Time 4 hours hrs 30 minutes mins,30 cookies,10,8,1 cup unsalted butter softened,1 1/2 cups granulated sugar,1 large egg room temperature,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 teaspoon baking powder,3/4 teaspoon salt,"Optional: sprinkles chopped nuts, or chopped chocolate for add-ins",NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/icebox-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
