title,author,rating,ratingnum,cuisine,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Funfetti Crumble Cookies,Bree Hester,4.47, 15 ,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 1 hour hr 2 minutes mins,24 cookies,8,18,1/2 cup white sugar,1 1/2 tablespoons brown sugar,3/4 cup cake flour,1/2 teaspoon baking powder,1/2 teaspoon salt,2 tablespoons rainbow sprinkles,1/4 cup canola oil,1 tablespoon clear vanilla extract,1 1/3 cup butter room temperature,1 1/2 cups sugar,2 eggs,3 teaspoons clear vanilla extract,2 1/2 cups cake flour,Baked Bree,https://bakedbree.com/funfetti-crumble-cookies,1 cup all-purpose flour,2 teaspoons cornstarch,2 teaspoons baking powder,1 teaspoon salt,1/4 cup rainbow sprinkles,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Pots,Bree Hester,4.50, 6 ,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 25 minutes mins,4 to 6,7,18,110 grams butter at room temperature,85 grams light brown sugar,1 teaspoon vanilla,1 egg,150 grams flour,½ teaspoon salt,½ teaspoon baking soda,170 grams chocolate chips,sea salt flakes,1/2 cup butter room temperature,7 Tablespoons light brown sugar,1 teaspoon vanilla,1 egg,Baked Bree,https://bakedbree.com/chocolate-chip-cookie-pots,1 cup flour,1/2 teaspoon salt,1/2 teaspoon baking soda,3/4 cup chocolate chips,sea salt flakes,NA,NA,NA,NA,NA,NA
Rainbow Rice Krispie Treats,Bree Hester,4.85, 13 ,American,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Total Time 1 hour hr 20 minutes mins,18 bars,4,6,1/2 cup butter,3 10 oz. bags mini marshmallows,10 cups Rice Krispies,2 cups Fruity Pebbles,1/2 teaspoon kosher salt,2 teaspoons vanilla,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/rainbow-rice-krispie-treats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doughnut Sugar Cookies (Sandwich Cookies),Bree Hester,5, 1 ,baking,Prep Time 40 minutes mins,Cook Time 10 minutes mins,Total Time 4 hours hrs 50 minutes mins,16 cookies (plus 16 cookie ‘holes’),11,14,1 cup butter room temperature,1 1/2 cups sugar,2 eggs,2 teaspoons vanilla extract,1 teaspoon almond extract,3 1/2 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon salt,1 1/2 cups unsalted butter softened,3 cups confectioners' sugar sifted,1 teaspoon vanilla extract,pinch salt,1 batch Sugar Cookie Glaze tinted with colors of your choice,Baked Bree,https://bakedbree.com/doughnut-sandwich-cookies,Sprinkles if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pretzel-Marshmallow-Peanut Butter Chip Cookies,Bree Hester,NA,NA,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr 5 minutes mins,36 cookies,6,12,1 cup butter room temperature,1/2 cup sugar,1 1/2 cups brown sugar,2 eggs,2 teaspoons vanilla extract,2 3/4 cups all-purpose flour,1 1/2 teaspoons baking powder,1 teaspoon baking soda,1/2 teaspoon salt,1 cup pretzels crushed,1 cup peanut butter chips,1/2 cup marshmallow bits or mini marshmallows,NA,Baked Bree,https://bakedbree.com/pretzel-marshmallow-peanut-butter-chip-cookies-week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Marshmallow Surprise Cookies,Bree Hester,NA,NA,American,Prep Time 20 minutes mins,Cook Time 14 minutes mins,Total Time 44 minutes mins,NA,11,15,1 3/4 cups flour,3/4 cup cocoa,1/2 teaspoon baking soda,1/2 teaspoon salt,1/2 cup butter room temperature,1 cup sugar,1 egg,1/2 cup milk,1 teaspoon vanilla,12 marshmallows cut in half,2 cups confectioners’ sugar,4 tablespoons melted butter,1/4 cup cocoa,Baked Bree,https://bakedbree.com/surprise-cookies,1/4 cup milk,1/4 teaspoon vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Bars Recipe,Bree Hester,NA,NA,American,Prep Time 5 minutes mins,Cook Time 5 minutes mins,Total Time 1 hour hr 10 minutes mins,12 bars,7,4,1 12-ounce box Golden Graham cereal,3 tablespoons butter,1 bag mini marshmallows (10 1/2 ounces),1 bag milk chocolate chips (12 ounces),NA,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/smores-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanilla Bean Almond Sugar Cookies,Bree Hester,NA,NA,American,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Total Time 8 hours hrs 30 minutes mins,24 pieces (depending on the size of your cutter),10,14,3 cups flour,2 teaspoons baking powder,1 cup sugar,2 sticks cold butter,1 egg,3/4 teaspoon vanilla,1/2 teaspoon almond extract,1 vanilla bean seeded,1 cup confectioners sugar,1 Tablespoon milk,1 drop lemon juice,1/2 teapoon almond extract,1 Tablespoon light corn syrup,Baked Bree,https://bakedbree.com/vanilla-bean-almond-sugar-cookies,food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Dove Royal Icing Cookies,Bree Hester,NA,NA,baking,Prep Time 30 minutes mins,Cook Time 8 minutes mins,Total Time 13 hours hrs 38 minutes mins,8 cookies,13,6,8 dove-shaped sugar cookies baked and cooled to room temperature,4 cups powdered sugar sifted,2 tablespoons meringue powder,"5-7 tablespoons of water plus more, as needed",Green gel food coloring for holly leaves,Red gel food coloring for berries,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/christmas-dove-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rocky Road Fudge,Bree Hester,5, 1 ,American,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Total Time 1 hour hr 20 minutes mins,NA,8,8,1 1/4 cups semi-sweet chocolate chips,3/4 cup milk chocolate chips,1 1/2 sticks of soft butter,1/4 cup Lyle’s Golden Syrup or light corn syrup,1 box Walker’s Shortbread Thins,1 cup chopped walnuts,2/3 cup candied cherries,3 cups cups marshmallows,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/cherry-rocky-road-fudge-week-11-of-12-weeks-of-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Caramel Thumbprints,Bree Hester,4.50, 2 ,American,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Total Time 2 hours hrs 20 minutes mins,2 dozen,11,13,1 egg,1/2 cup room temperature butter,2/3 cup sugar,2 tablespoons milk,1 teaspoon vanilla,1 cup flour,1/3 cup cocoa,1/4 teaspoon salt,16 caramels,3 tablespoons cream,1 1/4 finely chopped pecans,1/2 cup semi-sweet chocolate chips,1 tablespoon vegetable oil,Baked Bree,https://bakedbree.com/chocolate-caramel-pecan-thumbprints-week-9-of-12-weeks-of-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Cocoa Cookies,Bree Hester,5, 1 ,American,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Total Time 20 minutes mins,NA,9,11,2 sticks room temperature butter,1 cup sugar,2/3 cup brown sugar,2 eggs,1 teaspoon vanilla,3 1/4 cups flour,4 packages Hot Chocolate Mix not sugar free,1 teaspoon salt,1 1/4 teaspoon baking soda,1 cup mini chocolate chips,2 cups mini marshmallows,NA,NA,Baked Bree,https://bakedbree.com/hot-chocolate-cookies-ii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Spice Cookies,Bree Hester,5, 1 ,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 57 minutes mins,2 dozen,15,12,2 1/3 cups flour,2 teaspoons baking soda,1/2 teaspoon salt,2 teaspoons ground ginger,1/2 teaspoon cinnamon,1/4 teaspoon ground allspice,Pinch of freshly grated black pepper,1 1/2 sticks room temperature butter,1 cup packed brown sugar,1/2 cup molasses,1 egg,1/2 cup sugar for rolling,NA,Baked Bree,https://bakedbree.com/molasses-spice-cookies-week-1-of-12-weeks-of-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Brittle Basket,Bree Hester,4.50, 2 ,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 27 minutes mins,NA,7,14,2 sticks butter,3/4 cup sugar,1 cup corn syrup,1/2 teaspoon vanilla,1 cup pecans,3/4 cups flour,1/4 teaspoon salt,Vanilla bean ice cream,1/4 cup sliced strawberries,1/4 cup chopped pineapple,1/4 cup blueberries,1/4 cup sliced kiwi,1/4 cup chopped mango,Baked Bree,https://bakedbree.com/pecan-brittle-basket,Freshly whipped cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Cornmeal Biscotti,Sharon Best,NA,NA,Italian,Prep Time 15 minutes mins,Cook Time 47 minutes mins,Total Time 2 hours hrs 37 minutes mins,NA,12,10,3/4 cup whole hazelnuts or almonds,4 tablespoons cold butter,1/2 cup + 2 tablespoons granulated sugar,1 large cold egg,1 1/2 teaspoons anisette liqueur,1 1/4 cups flour,2 tablespoons cornmeal,1 teaspoon baking powder,1/2 teaspoon salt,1 1/2 teaspoons anise seeds,NA,NA,NA,Baked Bree,https://bakedbree.com/almond-cornmeal-biscotti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
